Time (s),Voltage (V)
14.629,1.69
14.642,0.0
14.65,0.36
14.662,1.07
14.67,0.0
14.682,1.04
14.691,0.67
14.703,0.0
14.711,1.7
14.724,0.0
14.736,0.32
14.744,1.09
14.756,0.0
14.764,1.17
14.777,0.58
14.785,0.0
14.797,1.84
14.805,0.0
14.818,0.34
14.826,0.92
14.838,0.0
14.846,1.04
14.859,0.55
14.871,0.0
14.879,1.98
14.891,0.04
14.9,0.56
14.912,1.03
14.92,0.0
14.932,1.18
14.941,0.45
14.953,0.0
14.961,1.61
14.973,0.0
14.982,0.58
14.994,0.94
15.006,0.0
15.014,1.49
15.027,0.32
15.035,0.0
15.047,1.93
15.055,0.26
15.067,0.63
15.076,0.85
15.088,0.0
15.096,1.28
15.108,0.32
15.117,0.0
15.129,1.73
15.141,0.05
15.149,0.87
15.162,0.86
15.17,0.0
15.182,1.09
15.19,0.0
15.203,0.0
15.211,1.5
15.223,0.0
15.231,0.8
15.244,0.87
15.252,0.0
15.264,1.65
15.276,0.0
15.285,0.0
15.297,1.43
15.305,0.0
15.317,0.79
15.326,0.82
15.361,0.0
15.361,1.74
15.361,0.0
15.367,0.0
15.379,1.6
15.387,0.0
15.399,0.72
15.412,0.8
15.42,0.0
15.432,1.69
15.44,0.0
15.453,0.0
15.461,1.18
15.473,0.0
15.481,1.32
15.493,0.74
15.502,0.0
15.514,1.55
15.522,0.0
15.534,0.08
15.547,1.04
15.555,0.0
15.567,1.28
15.575,0.69
15.588,0.0
15.596,1.59
15.608,0.0
15.616,0.19
15.629,1.05
15.637,0.0
15.649,1.22
15.657,0.71
15.67,0.0
15.682,1.83
15.69,0.32
15.702,0.2
15.711,0.97
15.723,0.0
15.731,1.3
15.743,0.6
15.751,0.0
15.764,1.82
15.772,0.02
15.784,0.37
15.793,1.06
15.805,0.0
15.817,1.33
15.825,0.61
15.837,0.0
15.846,1.81
15.858,0.0
15.866,0.54
15.878,1.15
15.887,0.0
15.899,1.42
15.907,0.48
15.919,0.0
15.928,1.8
15.94,0.34
15.948,0.55
15.96,0.96
15.973,0.0
15.981,1.37
15.993,0.44
16.001,0.0
16.014,1.48
16.022,0.12
16.034,0.47
16.042,0.84
16.055,0.0
16.063,1.09
16.075,0.34
16.083,0.0
16.096,1.5
16.108,0.04
16.116,0.62
16.128,0.94
16.136,0.0
16.149,1.24
16.157,0.33
16.169,0.0
16.177,1.74
16.19,0.0
16.198,0.74
16.21,0.95
16.218,0.0
16.231,1.46
16.243,0.35
16.251,0.0
16.263,1.53
16.272,0.01
16.284,0.57
16.292,0.82
16.304,0.0
16.313,1.56
16.325,0.0
16.333,0.0
16.345,1.37
16.354,0.2
16.366,0.78
16.378,0.83
16.386,0.0
16.399,1.73
16.407,0.13
16.419,0.0
16.427,1.36
16.44,0.0
16.448,0.65
16.46,0.78
16.469,0.0
16.48,1.59
16.489,0.05
16.501,0.02
16.513,1.2
16.521,0.0
16.534,1.33
16.542,0.88
16.554,0.0
16.562,1.86
16.575,0.0
16.583,0.03
